Sno,Position,LINK,CAMPUS,REQUIREMENT,REDIRECT_TO,ASPECT_RATIO,SOURCE_FILE,REMARKS
120,Eng – UG Course 11: PCT photo,https://jct1.teammistake.com/site_assests/p-c-img.jpg.jpeg,eng,image,,3:2,engineering.ts,"Petrochemical Technology card. 400×267px"
121,Eng – UG Course 11: PCT content,–,eng,content,–,–,engineering.ts,"Petrochemical Technology · PCT · 60 seats"
122,Eng – UG Course 11: PCT link,–,eng,redirect,/institutions/engineering/pct,–,engineering.ts,"On click → Petrochemical department page"
123,Eng – PG Course 1: Structural Eng photo,https://jct1.teammistake.com/site_assests/civil-img-1.jpg.jpeg,eng,image,,3:2,engineering.ts,"Reusing civil photo for PG Structural Eng card — consider dedicated PG card image"
124,Eng – PG Course 1: Structural content,–,eng,content,–,–,engineering.ts,"Structural Engineering · M.E. · Advanced Structural Design, Analysis, Earthquake Engineering"
125,Eng – PG Course 1: Structural link,–,eng,redirect,/institutions/engineering/structural-engineering,–,engineering.ts,"On click → PG Structural Engineering page"
126,Eng – PG Course 2: Power Electronics photo,https://jct1.teammistake.com/site_assests/eee-img.jpg.jpeg,eng,image,,3:2,engineering.ts,"Reusing EEE photo for PG Power Electronics card — consider dedicated image"
127,Eng – PG Course 2: Power Electronics content,–,eng,content,–,–,engineering.ts,"Power Electronics & Drives · M.E. · Power Converters, Drives"
128,Eng – PG Course 2: Power Electronics link,–,eng,redirect,/institutions/engineering/power-electronics,–,engineering.ts,"On click → PG Power Electronics page"
129,Eng – PG Course 3: CSE AI/ML photo,https://jct1.teammistake.com/site_assests/course-img4.webp,eng,image,,3:2,engineering.ts,"CSE AI/ML PG card image. 400×267px. WebP"
130,Eng – PG Course 3: CSE AI/ML content,–,eng,content,–,–,engineering.ts,"CSE (AI & Machine Learning) · M.E. · Advanced AI, Machine Learning"
131,Eng – PG Course 3: CSE AI/ML link,–,eng,redirect,/institutions/engineering/cse-aiml,–,engineering.ts,"On click → PG CSE AIML page"
132,Eng – PhD: EEE Doctoral photo,https://jct1.teammistake.com/site_assests/course-img5.webp,eng,image,,3:2,engineering.ts,"Ph.D EEE program card image. 400×267px. WebP"
133,Eng – PhD: EEE Doctoral content,–,eng,content,–,–,engineering.ts,"Electrical & Electronics Engineering · Ph.D. · Doctoral research program"
134,Eng – Facility: HPC Lab,–,eng,content,–,–,engineering.ts,"High-Performance Computing Lab — GPU clusters for ML and simulation — confirm lab is open and current"
135,Eng – Facility: Manufacturing Workshop,–,eng,content,–,–,engineering.ts,"Advanced Manufacturing Workshop — CNC, 3D printers, welding, materials testing"
136,Eng – Facility: Electronics Prototyping,–,eng,content,–,–,engineering.ts,"Electronics Prototyping Center — PCB fab, oscilloscopes, spectrum analyzers"
137,Eng – Facility: R&D Cell,–,eng,content,–,–,engineering.ts,"Research & Innovation Cell — faculty-guided research, patents, prototypes"
138,Eng – Testimonial photo: Vikram N.,https://jct1.teammistake.com/site_assests/19.jpeg,eng,image,,1:1,engineering.ts,"Alumni photo. 80×80px circle crop. Confirm person approved this usage"
139,Eng – Testimonial: Vikram N.,–,eng,content,–,–,engineering.ts,"Vikram N. — Design Engineer at L&T — Alumni — confirm quote approved"
140,Eng – Testimonial photo: Janani P.,https://jct1.teammistake.com/site_assests/4564cb56ad6a43f1af8faa4f29ad9e51.jpg.jpeg,eng,image,,1:1,engineering.ts,"Student photo. Filename is a hash — rename to janani-p.jpg. Confirm person approved"
141,Eng – Testimonial: Janani P.,–,eng,content,–,–,engineering.ts,"Janani P. — Final Year ECE Student — quote about coding sessions"
142,Eng – Testimonial photo: Mohan Raj,https://jct1.teammistake.com/site_assests/WhatsApp-Image-2024-11-29-at-2.36.24-PM.jpeg,eng,image,,1:1,engineering.ts,"Industry VIP photo. Filename is a WhatsApp download name — rename to mohan-raj.jpeg"
143,Eng – Testimonial: Mohan Raj,–,eng,content,–,–,engineering.ts,"Mohan Raj — Plant Operations Lead, Caterpillar — confirm approval to use name on site"
144,Eng – CTA: Apply Now,–,eng,redirect,/admissions/apply,–,engineering.ts,"On click → goes to Apply Now admissions form"
145,Eng – CTA: Download Brochure,–,eng,redirect,/admissions/prospectus,–,engineering.ts,"On click → goes to prospectus/brochure download page"
146,Arts – Hero banner,https://jct1.teammistake.com/site_assests/arts.jpeg,art,image,,16:9,arts-science.tsx,"Arts & Science hero. 1920×600px. WebP. Current file may be low-res — check quality"
147,Arts – Page title,–,art,content,–,–,arts-science.tsx,"JCT College of Arts & Science — confirm exact name"
148,Arts – Stat: Students,–,art,content,–,–,arts-science.tsx,"2500+ Students — confirm current count for this college"
149,Arts – Stat: Programs,–,art,content,–,–,arts-science.tsx,"5 Programs — confirm this is still accurate"
150,Arts – Stat: Faculty,–,art,content,–,–,arts-science.tsx,"60+ Faculty Members — confirm for Arts college specifically"
151,Arts – Stat: Years,–,art,content,–,–,arts-science.tsx,"15+ Years of Excellence — confirm founding year"
152,Arts – Philosophy stat: Departments,–,art,content,–,–,arts-science.tsx,"6 Departments — confirm"
153,Arts – Philosophy stat: Ratio,–,art,content,–,–,arts-science.tsx,"30:1 Student-Faculty Ratio — confirm"
154,Arts – Philosophy stat: UGC,–,art,content,–,–,arts-science.tsx,"UGC Recognized — confirm recognition is current"
155,Arts – UG Course 1: BSc CS photo,https://jct1.teammistake.com/site_assests/computer-img1.jpg.jpeg,art,image,,3:2,arts-science.tsx,"BSc Computer Science card. 400×267px. Shared with Engineering CSE card — consider unique image"
156,Arts – UG Course 1: BSc CS content,–,art,content,–,–,arts-science.tsx,"B.Sc Computer Science · B.Sc. CS · 3 Years · Foundational tech for information society"
157,Arts – UG Course 1: BSc CS link,–,art,redirect,/institutions/arts-science/bsc-computer-science,–,arts-science.tsx,"On click → BSc CS department page"
158,Arts – UG Course 2: BSc AI/ML photo,https://jct1.teammistake.com/site_assests/course-img1.webp,art,image,,3:2,arts-science.tsx,"BSc AI & ML card. 400×267px. WebP"
159,Arts – UG Course 2: BSc AI/ML content,–,art,content,–,–,arts-science.tsx,"B.Sc Artificial Intelligence & ML · B.Sc. AI&ML · 3 Years"
160,Arts – UG Course 2: BSc AI/ML link,–,art,redirect,/institutions/arts-science/bsc-ai-ml,–,arts-science.tsx,"On click → BSc AI/ML page"
161,Arts – UG Course 3: BCA photo,https://jct1.teammistake.com/site_assests/course-img2.webp,art,image,,3:2,arts-science.tsx,"BCA card. 400×267px. WebP"
162,Arts – UG Course 3: BCA content,–,art,content,–,–,arts-science.tsx,"BCA (Bachelor of Computer Applications) · BCA · 3 Years"
163,Arts – UG Course 3: BCA link,–,art,redirect,/institutions/arts-science/bca,–,arts-science.tsx,"On click → BCA department page"
164,Arts – UG Course 4: BCom Logistics photo,https://jct1.teammistake.com/site_assests/banner2.jpeg,art,image,,3:2,arts-science.tsx,"BCom Logistics card using homepage banner as photo — needs dedicated course thumbnail"
165,Arts – UG Course 4: BCom Logistics content,–,art,content,–,–,arts-science.tsx,"B.Com Logistics & Supply Chain Management · B.Com · 3 Years"
166,Arts – UG Course 4: BCom Logistics link,–,art,redirect,/institutions/arts-science/bcom-logistics-supply-chain,–,arts-science.tsx,"On click → BCom Logistics page"
167,Arts – UG Course 5: BBA Logistics photo,https://jct1.teammistake.com/site_assests/banner.jpg.jpeg,art,image,,3:2,arts-science.tsx,"BBA Logistics card using homepage banner — needs dedicated course photo"
168,Arts – UG Course 5: BBA Logistics content,–,art,content,–,–,arts-science.tsx,"BBA Logistics · BBA · 3 Years · Logistics and shipping management"
169,Arts – UG Course 5: BBA Logistics link,–,art,redirect,/institutions/arts-science/bba-logistics,–,arts-science.tsx,"On click → BBA Logistics page"
170,Arts – HOD photo,–,art,image,,1:1,arts-departments.ts,"Dr. R. Lakshmi — Head of Department photo. No image path defined in data — needs photo added. 200×200px"
171,Arts – CTA: Apply Now,–,art,redirect,/admissions/apply,–,arts-science.tsx,"On click → Apply Now form"
172,Arts – CTA: Download Brochure,–,art,redirect,/admissions/prospectus,–,arts-science.tsx,"On click → Brochure/prospectus page"
173,Poly – Hero banner,https://jct1.teammistake.com/site_assests/polytechnic.jpeg,poly,image,,16:9,polytechnic.tsx,"Polytechnic hero. 1920×600px. WebP. Confirm high-res version available"
174,Poly – Page title,–,poly,content,–,–,polytechnic.tsx,"JCT Polytechnic College — confirm exact institution name"
175,Poly – Stat: Students,–,poly,content,–,–,polytechnic.tsx,"1200+ Students — confirm current enrollment for Polytechnic"
176,Poly – Stat: Programs,–,poly,content,–,–,polytechnic.tsx,"6 Programs — confirm current diploma count"
177,Poly – Stat: Placement Rate,–,poly,content,–,–,polytechnic.tsx,"85% Placement Rate — confirm latest figure"
178,Poly – Stat: Duration,–,poly,content,–,–,polytechnic.tsx,"3 Yrs Duration — standard for all diploma programs"
179,Poly – Connect stat: Departments,–,poly,content,–,–,polytechnic.tsx,"6 Departments — confirm"
180,Poly – Connect stat: Ratio,–,poly,content,–,–,polytechnic.tsx,"25:1 Student–Faculty Ratio — confirm"
181,Poly – Connect stat: Approval,–,poly,content,–,–,polytechnic.tsx,"AICTE Approved — confirm current approval"
182,Poly – Diploma 1: Computer Tech photo,https://jct1.teammistake.com/site_assests/computer-img1.jpg.jpeg,poly,image,,3:2,polytechnic.tsx,"Diploma Computer Technology card. Same image used across 3 colleges — unique image needed"
183,Poly – Diploma 1: Computer Tech content,–,poly,content,–,–,polytechnic.tsx,"Diploma in Computer Technology · 3 Years · IT support, software testing"
184,Poly – Diploma 1: Computer Tech link,–,poly,redirect,/institutions/polytechnic/computer-technology,–,polytechnic.tsx,"On click → Diploma Computer Technology page"
185,Poly – Diploma 2: Agricultural Eng photo,https://jct1.teammistake.com/site_assests/agriculture-1-e1631252645760.jpg.jpeg,poly,image,,3:2,polytechnic.tsx,"Agricultural Engineering diploma card. Filename is a WordPress-style name — rename cleanly"
186,Poly – Diploma 2: Agricultural Eng content,–,poly,content,–,–,polytechnic.tsx,"Diploma in Agricultural Engineering · 3 Years · Agro-industries, rural tech"
187,Poly – Diploma 2: Agricultural Eng link,–,poly,redirect,/institutions/polytechnic/agricultural-engineering,–,polytechnic.tsx,"On click → Agricultural Engineering page"
188,Poly – Diploma 3: Petrochemical photo,https://jct1.teammistake.com/site_assests/petoleum-img.jpg.jpeg,poly,image,,3:2,polytechnic.tsx,"Petrochemical Diploma card. Same image as Engineering Petroleum course — needs own photo"
189,Poly – Diploma 3: Petrochemical content,–,poly,content,–,–,polytechnic.tsx,"Diploma in Petrochemical Engineering · 3 Years · Refinery, plant operations"
190,Poly – Diploma 3: Petrochemical link,–,poly,redirect,/institutions/polytechnic/petrochemical-engineering,–,polytechnic.tsx,"On click → Petrochemical Engineering page"
